year,state,state_po,state_fips,district,party,districtID
2020,INDIANA,IN,18,4,REPUBLICAN,184
2020,INDIANA,IN,18,5,REPUBLICAN,185
2020,INDIANA,IN,18,6,REPUBLICAN,186
2020,INDIANA,IN,18,7,DEMOCRAT,187
2020,INDIANA,IN,18,8,REPUBLICAN,188
2020,INDIANA,IN,18,9,REPUBLICAN,189
2020,IOWA,IA,19,1,REPUBLICAN,191
2020,IOWA,IA,19,2,REPUBLICAN,192
2020,IOWA,IA,19,3,DEMOCRAT,193
2020,IOWA,IA,19,4,REPUBLICAN,194
2020,KANSAS,KS,20,1,REPUBLICAN,201
2020,KANSAS,KS,20,2,REPUBLICAN,202
2020,KANSAS,KS,20,3,DEMOCRAT,203
2020,KANSAS,KS,20,4,REPUBLICAN,204
2020,KENTUCKY,KY,21,1,REPUBLICAN,211
2020,KENTUCKY,KY,21,2,REPUBLICAN,212
2020,KENTUCKY,KY,21,3,DEMOCRAT,213
2020,KENTUCKY,KY,21,4,REPUBLICAN,214
2020,KENTUCKY,KY,21,5,REPUBLICAN,215
2020,KENTUCKY,KY,21,6,REPUBLICAN,216
2020,LOUISIANA,LA,22,1,REPUBLICAN,221
2020,LOUISIANA,LA,22,2,DEMOCRAT,222
2020,LOUISIANA,LA,22,3,REPUBLICAN,223
2020,LOUISIANA,LA,22,4,REPUBLICAN,224
2020,LOUISIANA,LA,22,5,REPUBLICAN,225
2020,LOUISIANA,LA,22,6,REPUBLICAN,226
2020,MAINE,ME,23,1,DEMOCRAT,231
2020,MAINE,ME,23,2,DEMOCRAT,232
2020,MARYLAND,MD,24,1,REPUBLICAN,241
2020,MARYLAND,MD,24,2,DEMOCRAT,242
2020,MARYLAND,MD,24,3,DEMOCRAT,243
2020,MARYLAND,MD,24,4,DEMOCRAT,244
2020,MARYLAND,MD,24,5,DEMOCRAT,245
2020,MARYLAND,MD,24,6,DEMOCRAT,246
2020,MARYLAND,MD,24,7,DEMOCRAT,247
2020,MARYLAND,MD,24,8,DEMOCRAT,248
2020,MASSACHUSETTS,MA,25,1,DEMOCRAT,251
2020,MASSACHUSETTS,MA,25,2,DEMOCRAT,252
2020,MASSACHUSETTS,MA,25,3,DEMOCRAT,253
2020,MASSACHUSETTS,MA,25,4,DEMOCRAT,254
2020,MASSACHUSETTS,MA,25,5,DEMOCRAT,255
2020,MASSACHUSETTS,MA,25,6,DEMOCRAT,256
2020,MASSACHUSETTS,MA,25,7,DEMOCRAT,257
2020,MASSACHUSETTS,MA,25,8,DEMOCRAT,258
2020,MASSACHUSETTS,MA,25,9,DEMOCRAT,259
2020,MICHIGAN,MI,26,1,REPUBLICAN,261
2020,MICHIGAN,MI,26,2,REPUBLICAN,262
2020,MICHIGAN,MI,26,3,REPUBLICAN,263
2020,MICHIGAN,MI,26,4,REPUBLICAN,264
2020,MICHIGAN,MI,26,5,DEMOCRAT,265
2020,MICHIGAN,MI,26,6,REPUBLICAN,266
2020,MICHIGAN,MI,26,7,REPUBLICAN,267
2020,MICHIGAN,MI,26,8,DEMOCRAT,268
2020,MICHIGAN,MI,26,9,DEMOCRAT,269
2020,MICHIGAN,MI,26,10,REPUBLICAN,2610
2020,MICHIGAN,MI,26,11,DEMOCRAT,2611
2020,MICHIGAN,MI,26,12,DEMOCRAT,2612
2020,MICHIGAN,MI,26,13,DEMOCRAT,2613
2020,MICHIGAN,MI,26,14,DEMOCRAT,2614
2020,MINNESOTA,MN,27,1,REPUBLICAN,271
2020,MINNESOTA,MN,27,2,DEMOCRAT,272
2020,MINNESOTA,MN,27,3,DEMOCRAT,273
2020,MINNESOTA,MN,27,4,DEMOCRAT,274
2020,MINNESOTA,MN,27,5,DEMOCRAT,275
2020,MINNESOTA,MN,27,6,REPUBLICAN,276
2020,MINNESOTA,MN,27,7,REPUBLICAN,277
2020,MINNESOTA,MN,27,8,REPUBLICAN,278
2020,MISSISSIPPI,MS,28,1,REPUBLICAN,281
2020,MISSISSIPPI,MS,28,2,DEMOCRAT,282
2020,MISSISSIPPI,MS,28,3,REPUBLICAN,283
2020,MISSISSIPPI,MS,28,4,REPUBLICAN,284
2020,MISSOURI,MO,29,1,DEMOCRAT,291
2020,MISSOURI,MO,29,2,REPUBLICAN,292
2020,MISSOURI,MO,29,3,REPUBLICAN,293
2020,MISSOURI,MO,29,4,REPUBLICAN,294
2020,MISSOURI,MO,29,5,DEMOCRAT,295
2020,MISSOURI,MO,29,6,REPUBLICAN,296
2020,MISSOURI,MO,29,7,REPUBLICAN,297
2020,MISSOURI,MO,29,8,REPUBLICAN,298
2020,MONTANA,MT,30,0,REPUBLICAN,300
2020,NEBRASKA,NE,31,1,REPUBLICAN,311
2020,NEBRASKA,NE,31,2,REPUBLICAN,312
2020,NEBRASKA,NE,31,3,REPUBLICAN,313
2020,NEVADA,NV,32,1,DEMOCRAT,321
2020,NEVADA,NV,32,2,REPUBLICAN,322
2020,NEVADA,NV,32,3,DEMOCRAT,323
2020,NEVADA,NV,32,4,DEMOCRAT,324
2020,NEW HAMPSHIRE,NH,33,1,DEMOCRAT,331
2020,NEW HAMPSHIRE,NH,33,2,DEMOCRAT,332
2020,NEW JERSEY,NJ,34,1,DEMOCRAT,341
2020,NEW JERSEY,NJ,34,2,REPUBLICAN,342
2020,NEW JERSEY,NJ,34,3,DEMOCRAT,343
2020,NEW JERSEY,NJ,34,4,REPUBLICAN,344
2020,NEW JERSEY,NJ,34,5,DEMOCRAT,345
2020,NEW JERSEY,NJ,34,6,DEMOCRAT,346
2020,NEW JERSEY,NJ,34,7,DEMOCRAT,347
2020,NEW JERSEY,NJ,34,8,DEMOCRAT,348
2020,NEW JERSEY,NJ,34,9,DEMOCRAT,349
2020,NEW JERSEY,NJ,34,10,DEMOCRAT,3410
2020,NEW JERSEY,NJ,34,11,DEMOCRAT,3411
2020,NEW JERSEY,NJ,34,12,DEMOCRAT,3412
2020,NEW MEXICO,NM,35,1,DEMOCRAT,351
2020,NEW MEXICO,NM,35,2,REPUBLICAN,352
2020,NEW MEXICO,NM,35,3,DEMOCRAT,353
2020,NEW YORK,NY,36,1,REPUBLICAN,361
2020,NEW YORK,NY,36,2,REPUBLICAN,362
2020,NEW YORK,NY,36,3,DEMOCRAT,363
2020,NEW YORK,NY,36,4,DEMOCRAT,364
2020,NEW YORK,NY,36,5,DEMOCRAT,365
2020,NEW YORK,NY,36,6,DEMOCRAT,366
2020,NEW YORK,NY,36,7,DEMOCRAT,367
2020,NEW YORK,NY,36,8,DEMOCRAT,368
2020,NEW YORK,NY,36,9,DEMOCRAT,369
2020,NEW YORK,NY,36,10,DEMOCRAT,3610
2020,NEW YORK,NY,36,11,REPUBLICAN,3611
2020,NEW YORK,NY,36,12,DEMOCRAT,3612
2020,NEW YORK,NY,36,13,DEMOCRAT,3613
2020,NEW YORK,NY,36,14,DEMOCRAT,3614
2020,NEW YORK,NY,36,15,DEMOCRAT,3615
2020,NEW YORK,NY,36,16,DEMOCRAT,3616
2020,NEW YORK,NY,36,17,DEMOCRAT,3617
2020,NEW YORK,NY,36,18,DEMOCRAT,3618
2020,NEW YORK,NY,36,19,DEMOCRAT,3619
