county,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,Percentage Eligible,rural
06001,210706,378514,8713,73726,42919,1318,83106,61280,12388,92517,69416,35.76,0
06003,224,289,20,10,2,0,203,37,36,112,95,43.66,1
06005,7511,9665,656,326,74,0,6801,1248,1195,3759,3166,43.73,1
06007,40192,41161,3710,3686,2357,40,35518,11425,3948,15457,14664,49.4,0
06009,8405,10815,734,365,82,0,7611,1396,1337,4206,3543,43.73,1
06011,4223,3162,379,53,42,14,3554,1572,429,1980,1653,57.18,1
06013,146962,264666,8555,33692,26425,883,79068,53487,12129,68672,57806,35.7,0
06015,5292,5091,900,234,195,11,4856,1140,867,2760,2434,50.97,1
06017,24554,50355,2138,1963,501,162,23023,4153,2953,11738,8631,32.78,0
06019,185742,136899,8969,21762,18204,295,118873,117952,12531,70247,69657,57.57,0
06021,5590,4186,502,70,56,19,4705,2081,569,2622,2188,57.18,1
06023,31636,23547,3638,1639,2411,52,27306,5374,1776,10831,12349,57.33,0
06025,31686,16164,675,991,1079,81,12409,28148,1883,15801,14643,66.22,0
06027,3529,4541,308,153,35,0,3196,586,562,1766,1488,43.73,1
06029,168617,114415,9524,9794,16448,549,122297,99849,15697,64442,56917,59.58,0
06031,24053,19090,830,1325,3211,194,14569,17478,3534,7400,7968,55.75,0
06033,14392,11949,2165,407,759,40,12169,3992,1736,7558,6727,54.64,1
06035,6244,6006,1061,276,230,13,5729,1345,1023,3257,2872,50.97,1
06037,1702407,1673249,76452,292171,231371,3667,822283,894159,79905,754035,561527,50.43,0
06039,25645,18410,1786,686,459,0,15537,18260,2098,11074,10944,58.21,0
06041,29547,73831,1002,2841,1938,62,22778,7634,1026,14641,9631,28.58,0
06043,3180,4092,278,138,31,0,2880,528,506,1592,1340,43.73,1
06045,19344,16061,2911,546,1021,54,16356,5365,2334,10160,9041,54.64,1
06047,53812,31154,2547,4421,2994,257,25565,34405,3829,20361,20474,63.33,0
06049,1660,1597,282,73,61,3,1523,358,272,866,763,50.97,1
06051,2447,3148,214,106,24,0,2216,406,389,1224,1031,43.74,1
06053,63592,72735,2850,6153,3420,194,30683,41735,5140,26290,18794,46.65,0
06055,18748,30662,1299,2015,437,149,14517,7963,1338,9025,7762,37.94,0
06057,17281,24896,1083,1060,0,0,16509,2716,2110,10515,5339,40.97,1
06059,425077,651698,14254,116130,18072,1587,246378,177642,29839,191699,125038,39.48,0
06061,50109,105791,2603,6997,2644,281,42395,13052,5865,23049,17998,32.14,0
06063,3777,3633,642,167,139,8,3465,813,619,1970,1737,50.97,1
06065,372728,393121,16911,33162,40961,652,220558,213013,35831,167189,129584,48.67,0
06067,255159,316812,17401,55257,46626,1127,150485,75179,26716,107249,99319,44.61,0
06069,8146,9058,465,242,61,0,4043,6598,226,3300,2567,47.35,0
06071,360760,315119,21629,33851,51667,1354,205780,221780,36715,145883,130999,53.38,0
06073,450287,712606,18505,73421,48025,1519,320420,198078,61126,191347,146243,38.72,0
06075,124988,226238,4746,56210,13599,814,56516,26961,6504,63779,48584,35.59,0
06077,122297,119495,12597,25507,15349,736,68204,62091,9304,49724,47537,50.58,0
06079,42388,65183,1147,3987,1732,284,38281,13717,5945,21250,17262,39.4,0
06081,76363,187388,3683,28968,2920,480,36456,26449,4630,38751,23519,28.95,0
06083,68664,81894,4232,7384,3050,531,51219,40072,5017,27864,22737,45.61,0
06085,202549,447877,9461,79826,12215,487,99936,73084,12658,97270,68469,31.14,0
06087,38046,59308,1856,3820,1820,69,29096,18715,2530,19091,11751,39.08,0
06089,33977,37528,3727,1707,1526,227,32381,4621,5109,16370,18180,47.52,0
06091,547,789,34,34,0,0,523,86,67,333,169,40.94,1
06093,8409,8089,1430,371,310,18,7716,1811,1377,4386,3868,50.97,1
06095,65895,92303,3018,13995,14883,503,34417,23018,8965,31079,27387,41.65,0
06097,68722,121857,5989,7325,3114,796,52394,25557,5490,29698,26033,36.06,0
06099,87575,86584,5763,7449,6795,269,60995,47022,5995,37106,32106,50.28,0
06101,19122,14768,1539,3479,1287,86,11915,7199,1974,8562,9263,56.42,0
06103,12727,9531,1142,158,127,44,10712,4738,1294,5969,4981,57.18,1
06105,3115,2332,279,39,31,11,2621,1159,317,1461,1219,57.19,1
06107,88390,55122,6432,4471,2878,109,58851,65005,4834,31550,29988,61.59,0
06109,10321,13280,902,448,101,0,9346,1714,1642,5165,4350,43.73,1
06111,105281,174052,7965,11860,5109,209,82944,56833,9669,53005,39276,37.69,0
06113,35409,41435,1422,7836,3604,77,25250,14230,2237,12184,11406,46.08,0
06115,15658,12093,1260,2848,1054,71,9756,5894,1616,7011,7585,56.42,0
08001,74882,108458,6502,4119,6806,437,59736,38685,7847,25368,26779,40.84,0
08003,3759,3383,437,119,163,100,3128,1964,401,1936,1859,52.63,1
08005,83078,162812,4115,6858,16749,170,60966,26171,9405,31919,29390,33.79,0
08007,2502,3327,330,78,24,28,2244,498,295,969,655,42.92,1
08009,805,725,94,25,35,21,670,421,86,415,398,52.61,1
08011,1297,1167,151,41,56,35,1079,678,138,668,641,52.64,1
08013,40532,93156,1186,3814,1429,95,37983,8579,3140,14447,12014,30.32,0
08014,6464,23326,444,738,390,67,5625,1386,765,2917,2011,21.7,0
08015,3351,4367,107,54,35,4,3257,737,685,1997,1385,43.42,1
08017,270,391,15,4,19,2,258,71,30,124,81,40.85,1
08019,914,3025,66,22,27,0,886,70,96,494,313,23.2,1
08021,1712,1541,199,54,74,46,1425,895,183,882,847,52.63,1
08023,803,723,93,25,35,21,668,420,86,414,397,52.62,1
08025,916,1327,51,13,64,5,874,242,103,420,275,40.84,1
08027,809,1055,26,13,9,1,786,178,165,482,334,43.4,1
08029,6718,6139,61,25,112,0,6573,1359,950,3461,2282,52.25,1
08031,122709,207300,6546,7757,22573,329,87166,45140,10245,41832,39666,37.18,0
08033,435,579,57,14,4,5,390,87,51,169,114,42.9,1
08035,24277,111773,1088,1379,1161,0,22661,4130,3012,10045,6619,17.84,0
08037,5883,14486,0,16,0,0,5652,1433,795,2093,1443,28.88,1
08039,4035,5840,223,59,281,23,3848,1065,452,1849,1210,40.86,1
08041,101281,185005,7797,8043,14697,144,87461,27383,23352,35474,35711,35.38,0
08043,8419,10972,269,135,88,9,8182,1852,1721,5018,3480,43.42,1
08045,9674,15298,426,85,10,59,8842,2880,1237,4043,3111,38.74,1
08047,565,1871,41,14,17,0,548,43,59,305,194,23.19,1
08049,1659,4084,0,4,0,0,1593,404,224,590,407,28.89,1
08051,3168,4214,418,99,30,36,2841,630,373,1227,830,42.92,1
08053,147,196,19,5,1,2,132,29,17,57,39,42.86,1
08055,1173,1528,37,19,12,1,1140,258,240,699,485,43.43,1
08057,146,359,0,0,0,0,140,36,20,52,36,28.91,1
08059,73325,168563,5322,4670,3288,108,67291,18311,7935,32158,24824,30.31,0
08061,224,324,12,3,16,1,213,59,25,102,67,40.88,1
08063,1097,1588,61,16,76,6,1046,289,123,503,329,40.86,1
08065,1279,1667,41,20,13,1,1243,281,261,762,529,43.41,1
08067,10418,13856,1376,325,100,117,9343,2073,1228,4036,2729,42.92,1
08069,50025,102096,3710,2346,2708,732,46907,10915,5395,17083,16028,32.89,0
08071,3342,3007,388,106,145,89,2780,1746,357,1721,1653,52.64,1
08073,879,1273,49,13,61,5,839,232,98,403,264,40.85,1
08075,3333,4824,184,49,232,19,3179,879,373,1527,999,40.86,1
08077,27775,36393,511,215,597,0,27391,5751,3534,11978,11105,43.28,0
08079,198,179,23,6,9,5,165,104,21,102,98,52.52,1
08081,2085,3296,92,18,2,13,1905,620,266,871,670,38.75,1
08083,4839,6436,639,151,47,54,4340,963,570,1875,1267,42.92,1
08085,9191,8400,83,34,153,0,8993,1859,1299,4736,3122,52.25,1
08087,4508,6525,250,66,314,25,4300,1189,505,2066,1352,40.86,1
08089,4293,3863,499,136,186,115,3572,2243,458,2211,2123,52.64,1
08091,1049,959,9,4,17,0,1026,212,148,540,356,52.24,1
08093,2992,3899,96,48,31,3,2908,658,611,1783,1237,43.42,1
08095,702,1017,39,10,49,4,670,185,79,322,211,40.84,1
08097,1833,4512,0,5,0,0,1761,446,248,652,450,28.89,1
08099,2756,2480,320,87,119,74,2293,1440,294,1419,1363,52.64,1
08101,37298,31395,2175,1070,1716,2,33772,17895,4659,17439,16327,54.3,0
08103,1024,1619,45,9,1,6,936,305,131,428,329,38.74,1
08105,2649,2384,308,84,115,71,2204,1384,283,1364,1310,52.63,1
08107,3894,6158,172,34,4,24,3559,1159,498,1627,1252,38.74,1
08109,1463,1317,170,46,63,39,1217,764,156,754,724,52.63,1
08111,132,176,17,4,1,1,118,26,16,51,35,42.86,1
08113,1738,1588,16,6,29,0,1700,351,246,895,590,52.25,1
08115,373,539,21,5,26,2,355,98,42,171,112,40.9,1
08117,3278,8070,0,9,0,0,3149,799,443,1166,804,28.89,1
08119,3389,5260,318,155,372,0,3193,1147,1140,1038,968,39.18,1
