puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability,difference_percentage_eng_very_well
0607301,25994,36430,41.64,34.45,-22.62,-25.4,-22.26,0.0,-18.33,-17.43,-27.65,-11.23,-12.98,-12.53
0607302,13415,28538,31.98,28.05,-18.96,0.0,0.0,0.0,-12.89,-8.93,-16.56,-16.9,-16.0,-6.56
0607306,24573,21131,53.77,51.38,-1.46,-2.94,0.0,0.0,-4.8,-2.57,-3.34,-4.41,-3.3,-3.44
0607307,15936,22872,41.06,37.29,-13.71,0.0,0.0,0.0,-10.23,-2.17,-13.67,-12.47,-6.14,-2.74
0607308,11374,36761,23.63,17.23,-44.15,-22.5,-46.91,0.0,-24.91,-36.61,-19.6,-34.33,-13.53,-26.54
0607310,19849,52323,27.5,23.31,-14.33,-4.83,-0.04,0.0,-17.01,-9.56,-35.73,-17.88,-15.73,-4.83
0607311,8489,31591,21.18,18.83,0.0,-1.26,-8.25,0.0,-24.22,-25.1,-11.87,-9.43,-4.71,-5.8
0607312,14913,26907,35.66,33.92,0.0,-3.86,0.0,0.0,-8.78,-2.64,-7.35,-7.65,-1.96,-3.44
0607313,30955,32070,49.12,46.14,-23.54,-12.65,-11.93,0.0,-5.69,-6.86,-13.12,-8.2,-2.28,-1.04
0607314,20953,43323,32.6,25.81,-0.16,-22.39,-8.12,0.0,-22.73,-15.0,-17.59,-25.68,-15.94,-8.8
0607315,20028,46029,30.32,27.63,-23.19,-8.47,-4.44,0.0,-10.15,-7.1,-24.4,-10.61,-10.23,-8.05
0607316,33383,57061,36.91,32.79,-17.45,-8.88,-6.67,0.0,-13.77,-6.91,-13.82,-14.49,-6.4,-7.47
0607317,30862,28535,51.96,47.8,-0.07,-6.62,-9.89,0.0,-12.32,-8.98,-19.25,-3.89,-5.05,-4.29
0607322,19974,20129,49.81,44.22,-9.47,-8.81,-7.76,0.0,-12.69,-11.28,-8.32,-12.45,-7.81,-13.07
0607323,13900,20527,40.38,34.97,-0.46,-39.33,-17.89,0.0,-12.15,-10.29,-4.51,-13.42,-7.01,-10.19
0607324,13713,40914,25.1,19.22,-0.67,-8.99,-0.5,0.0,-26.18,-0.92,-15.67,-26.9,-26.38,-5.31
0607325,18532,28350,39.53,35.52,-7.18,0.0,0.0,0.0,-12.69,-7.98,-6.06,-16.86,-9.22,-4.85
0607326,13844,49830,21.74,17.58,-33.04,-17.62,-12.29,0.0,-17.78,-19.83,-17.9,-26.64,-11.81,-15.27
0607327,25176,16426,60.52,55.15,0.0,-15.65,-6.41,0.0,-10.71,-6.06,-8.33,-9.5,-8.13,-8.22
0607328,18791,23399,44.54,38.9,0.0,-4.83,-15.23,0.0,-13.6,-8.63,-26.82,-19.89,-11.21,-5.37
0607329,19803,29742,39.97,33.37,0.0,-18.67,-24.08,0.0,-14.43,-11.62,-18.76,-12.81,-12.89,-18.52
0607330,35830,19718,64.5,57.54,0.0,-9.03,-3.66,0.0,-13.1,-12.34,-3.68,-9.77,-5.64,-10.25
