puma22,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,Percentage Eligible_120,difference_percentage_aian_120,difference_percentage_asian_120,difference_percentage_black_120,difference_percentage_nhpi_120,difference_percentage_white_120,difference_percentage_hispanic_120,difference_percentage_veteran_120,difference_percentage_elderly_120,difference_percentage_disability_120,Percentage Eligible_135,difference_percentage_aian_135,difference_percentage_asian_135,difference_percentage_black_135,difference_percentage_nhpi_135,difference_percentage_white_135,difference_percentage_hispanic_135,difference_percentage_veteran_135,difference_percentage_elderly_135,difference_percentage_disability_135,Percentage Eligible_150,difference_percentage_aian_150,difference_percentage_asian_150,difference_percentage_black_150,difference_percentage_nhpi_150,difference_percentage_white_150,difference_percentage_hispanic_150,difference_percentage_veteran_150,difference_percentage_elderly_150,difference_percentage_disability_150,Total Subscribers
1500308,16636,22588,42.41,40.85,-9.52,-3.07,-8.81,-0.57,-4.25,-4.71,-3.35,-3.5,-4.6,41.03,-9.52,-2.48,-8.81,-0.57,-4.25,-4.71,-3.35,-3.48,-4.6,41.41,-9.52,-2.48,-8.81,0.0,-2.18,-1.61,-1.31,-2.57,-3.4,3430
1600100,22808,30320,42.93,35.19,-4.78,-10.94,-23.94,0.0,-17.82,-2.08,-21.37,-23.85,-9.82,36.36,-4.14,-10.94,-23.94,0.0,-15.07,-2.08,-19.48,-19.95,-7.9,37.61,-1.9,0.0,-23.94,0.0,-12.28,-2.08,-19.48,-15.73,-6.7,3081
1600200,24660,41283,37.4,29.79,-8.89,-52.31,-16.0,,-19.09,-4.44,-24.91,-28.37,-22.74,30.64,-4.27,-16.38,-16.0,,-17.95,-4.44,-23.23,-24.57,-20.76,32.34,-4.27,-16.38,-16.0,,-13.18,-4.44,-22.58,-19.51,-17.21,7017
1600300,19870,24162,45.13,37.06,-1.78,0.0,0.0,,-17.79,-13.32,-22.72,-21.33,-11.41,37.82,-1.78,0.0,0.0,,-16.09,-13.32,-21.89,-18.85,-9.62,39.02,0.0,0.0,0.0,,-13.47,-11.06,-19.34,-16.35,-9.28,1906
1600400,20412,29665,40.76,32.39,-18.81,0.0,0.0,0.0,-18.43,-31.75,-21.25,-26.84,-21.89,33.2,-18.81,0.0,0.0,0.0,-16.35,-31.75,-18.86,-24.5,-20.6,33.97,-18.81,0.0,0.0,0.0,-14.35,-28.34,-15.58,-21.79,-19.15,2713
1600500,23592,24556,49.0,39.4,0.0,0.0,-0.57,0.0,-21.09,-13.04,-25.9,-18.26,-11.47,40.25,0.0,0.0,-0.57,0.0,-19.16,-12.81,-23.07,-14.87,-9.09,41.57,0.0,0.0,-0.57,0.0,-16.44,-12.07,-17.96,-10.58,-3.96,4760
1600600,22432,35364,38.81,30.4,-5.12,0.0,-25.61,0.0,-24.12,-15.0,-37.16,-23.52,-11.68,30.6,0.0,0.0,-25.61,0.0,-23.51,-15.0,-36.15,-22.66,-11.04,31.01,0.0,0.0,-25.61,0.0,-22.18,-15.0,-36.15,-21.81,-10.41,3641
1600701,17118,33657,33.71,26.79,0.0,-6.07,0.0,,-22.36,-5.12,-3.45,-31.73,-19.73,28.39,0.0,-6.07,0.0,,-17.11,-5.12,-3.45,-21.15,-10.41,30.03,0.0,-6.07,0.0,,-11.74,-2.06,-3.45,-12.43,-10.41,1889
1600702,16616,29886,35.73,29.62,-0.2,0.0,0.0,0.0,-18.47,-6.22,-3.57,-23.41,-6.11,31.47,-0.2,0.0,0.0,0.0,-12.89,-6.22,-3.57,-16.81,-6.06,32.0,-0.2,0.0,0.0,0.0,-11.29,-6.22,-3.57,-14.31,-6.06,3210
1600800,18583,33593,35.62,28.52,-9.37,-18.16,-0.17,0.0,-20.89,-1.36,-20.41,-26.7,-14.76,29.65,-9.37,-11.56,-0.17,0.0,-17.7,-1.36,-20.41,-24.58,-7.91,30.83,0.0,-11.56,-0.17,0.0,-14.04,-1.36,-20.41,-19.13,-7.9,2773
1600900,20420,22528,47.55,38.8,-29.74,0.0,0.0,,-20.54,-5.97,-17.81,-20.28,-12.41,40.91,-22.01,0.0,0.0,,-15.47,-5.97,-5.75,-16.42,-8.92,41.79,-15.48,0.0,0.0,,-13.6,-3.87,-2.9,-13.16,-8.92,2887
1601000,18999,24849,43.33,33.02,-30.18,0.0,-47.05,,-24.76,-18.44,-39.36,-29.11,-13.93,33.64,-30.18,0.0,-11.82,,-23.13,-15.65,-36.85,-28.96,-12.61,35.34,-12.33,0.0,-11.82,,-18.65,-12.48,-29.02,-23.54,-11.96,2424
1601100,21834,25186,46.44,36.66,0.0,-27.07,0.0,,-21.25,-11.44,-8.45,-24.36,-23.61,38.29,0.0,-27.07,0.0,,-17.7,-11.44,-8.41,-17.2,-15.81,39.44,0.0,-27.07,0.0,,-15.27,-10.89,-6.74,-16.56,-12.6,1970
1601200,17084,25761,39.87,32.83,0.0,0.0,0.0,,-18.1,-14.47,-26.54,-17.03,-9.41,33.35,0.0,0.0,0.0,,-16.61,-14.47,-20.73,-15.51,-9.16,34.39,0.0,0.0,0.0,,-13.66,-10.8,-20.73,-14.16,-8.32,2595
1601300,22708,25925,46.69,38.82,-2.51,-38.62,0.0,,-17.54,-6.68,-19.62,-23.59,-14.36,39.48,-2.51,-38.62,0.0,,-16.03,-6.68,-14.04,-19.7,-12.7,41.83,-2.51,0.0,0.0,,-10.88,-5.21,-6.34,-11.33,-5.69,3311
1700100,25722,33571,43.38,33.24,-5.99,0.0,-13.15,0.0,-23.44,-40.26,-19.87,-31.03,-20.99,35.57,-5.99,0.0,-13.15,0.0,-17.97,-0.13,-15.5,-24.84,-11.61,37.49,-5.99,0.0,-13.15,0.0,-13.48,0.0,-14.84,-18.33,-9.58,5737
1700701,21664,33197,39.49,31.54,-48.23,-18.92,-25.46,,-19.5,-31.02,-25.15,-26.97,-18.4,32.47,-48.23,-18.92,-25.46,,-16.77,-31.02,-20.44,-24.58,-14.19,33.89,0.0,-18.92,-8.57,,-12.63,-20.63,-12.97,-20.68,-10.23,5538
1701901,30556,40010,43.3,34.58,-0.61,-18.24,-10.21,,-22.76,-32.78,-16.55,-26.03,-24.77,35.89,-0.61,-18.24,-5.86,,-20.01,-24.08,-16.55,-22.56,-20.58,37.16,-0.61,-7.55,-5.86,,-17.23,-24.08,-8.64,-20.68,-16.91,7444
1701902,28265,32184,46.76,38.47,-31.16,-17.15,-7.6,,-18.61,-23.43,-20.23,-24.05,-18.88,39.61,-28.06,-17.15,-5.42,,-16.6,-8.81,-18.72,-21.5,-15.26,40.9,-28.06,-7.13,-5.42,,-13.59,-8.81,-15.46,-16.83,-13.45,9516
1702900,24195,29311,45.22,38.18,-5.56,-16.67,-0.8,,-15.75,-6.22,-13.38,-20.25,-5.55,39.35,-3.14,-16.67,-0.8,,-13.12,-6.22,-12.42,-16.65,-5.19,40.3,0.0,-16.67,0.0,,-10.99,0.0,-11.36,-14.14,-3.9,5761
1703101,16955,32703,34.14,28.36,0.0,-14.91,-3.75,0.0,-21.97,-6.43,-29.44,-24.08,-15.24,28.98,0.0,-11.57,-3.75,0.0,-20.07,-6.43,-29.44,-20.21,-13.38,29.36,0.0,-11.57,-0.05,0.0,-19.06,-4.83,-29.44,-18.57,-11.93,1761
1703102,16241,23204,41.17,36.35,0.0,-4.68,-6.85,,-10.65,-14.17,-19.02,-13.94,-18.32,37.08,0.0,-4.68,-6.85,,-8.52,-13.06,-19.02,-10.9,-18.29,37.34,0.0,-4.68,-6.85,,-7.49,-13.06,-19.02,-9.41,-18.29,2794
1703103,13107,28894,31.21,26.41,0.0,-12.55,-48.92,,-19.45,-16.19,-6.64,-16.29,-11.15,26.8,0.0,-6.26,-48.92,,-19.42,-16.17,-6.64,-16.29,-11.15,27.33,0.0,-6.26,-48.92,,-16.92,-16.1,-3.27,-13.12,-8.93,2085
1703104,14090,34436,29.04,23.65,0.0,0.0,0.0,,-25.43,-15.26,-43.97,-26.9,-21.37,23.94,0.0,0.0,0.0,,-24.05,-14.03,-43.97,-26.9,-21.37,25.87,0.0,0.0,0.0,,-14.95,-5.98,0.0,-16.31,-16.04,2155
1703105,16320,34651,32.02,26.09,-6.33,-11.92,0.0,,-21.02,-8.38,-8.53,-19.69,-18.76,26.44,-6.19,-11.83,0.0,,-19.56,-8.38,-8.53,-18.96,-16.7,29.17,-6.19,-7.11,0.0,,-10.31,-3.36,0.0,-10.96,-11.05,2103
1703106,13076,41382,24.01,18.56,-99.55,-25.21,-7.8,,-23.61,-7.2,-9.97,-26.1,-11.8,20.31,-28.38,-15.54,-7.68,,-15.71,-7.12,-9.82,-17.11,-10.53,21.07,-28.38,-15.54,-7.68,,-11.37,-7.12,-9.82,-11.13,-4.71,1173
1703107,21219,36888,36.52,30.44,-62.39,-16.72,-13.62,,-18.63,-15.61,-81.32,-19.39,-13.31,30.9,-27.98,-16.72,-11.56,,-16.7,-9.83,-72.78,-17.75,-11.99,31.26,-27.98,-16.72,-11.56,,-15.19,-9.79,-72.78,-15.74,-11.99,4380
1703108,24266,42275,36.47,29.63,-39.53,-13.86,-9.39,,-20.26,-22.65,-20.73,-22.42,-16.41,30.45,-36.85,-13.86,-8.6,,-17.19,-17.87,-19.49,-19.58,-14.83,32.84,-2.33,-13.86,-8.6,,-9.36,-1.27,-15.17,-11.82,-11.74,3577
1703109,22322,23316,48.91,40.99,-13.52,-19.79,-0.4,,-17.31,-13.95,-13.25,-14.88,-8.13,41.6,-13.52,-19.79,-0.4,,-15.58,-12.12,-13.25,-14.17,-8.04,42.24,0.0,-19.79,-0.4,,-14.38,-9.57,-12.7,-13.03,-6.84,3666
1703110,17395,24542,41.48,34.87,-12.05,-16.16,-8.32,,-23.34,-15.22,-11.52,-17.1,-7.08,35.53,-12.05,-16.16,-7.75,,-20.15,-15.22,-6.12,-13.97,-5.67,36.76,0.0,0.0,-3.47,,-18.13,-15.22,-6.12,-12.05,-4.99,7092
1703111,18472,24980,42.51,37.01,-4.94,-8.6,-8.5,,-17.61,-11.05,-14.02,-15.65,-7.87,37.9,-4.94,-8.6,-8.08,,-15.31,-8.81,-11.0,-12.3,-5.53,39.03,0.0,0.0,-5.01,,-12.14,-7.01,-11.0,-10.1,-4.85,3035
1703112,21623,27778,43.77,39.7,0.0,0.0,-9.0,,-10.13,-8.39,-17.28,-13.22,-9.09,40.9,0.0,0.0,-9.0,,-8.98,-4.73,-17.28,-9.45,-5.34,41.89,0.0,0.0,-8.98,,-4.29,-1.8,-17.28,-6.74,-4.66,5860
1703113,22586,34774,39.38,32.92,-2.8,-10.06,-0.07,,-18.09,-12.68,-12.98,-22.98,-9.84,33.9,-2.8,-10.06,-0.07,,-15.01,-12.68,-12.98,-17.92,-5.68,35.01,-2.8,-10.06,0.0,,-11.54,-11.81,0.0,-12.8,-3.18,4852
1703114,28867,38574,42.8,35.54,0.0,0.0,-16.79,,-17.71,-13.79,-26.61,-25.36,-23.0,37.65,0.0,0.0,-5.97,,-14.78,-11.16,-7.85,-15.56,-15.58,38.99,0.0,0.0,-3.25,,-12.06,-4.98,-7.85,-12.84,-13.23,8656
1703115,16129,35359,31.33,24.61,-61.74,-12.08,0.0,,-24.02,-4.86,-14.6,-28.09,-19.31,26.78,-61.74,-12.08,0.0,,-16.13,-4.86,-3.38,-16.29,-13.96,28.21,-61.74,-12.08,0.0,,-10.91,-4.86,-3.31,-11.13,-7.5,2656
1703116,23646,29887,44.17,36.77,-12.17,-19.76,-13.15,,-18.73,-10.22,-11.87,-15.75,-12.25,39.44,-12.17,-2.97,-2.25,,-15.99,-10.22,-9.13,-10.26,-8.24,40.61,-12.17,-2.97,-1.04,,-14.18,-3.27,-9.13,-8.19,-5.63,6909
1703117,33301,22432,59.75,55.43,-8.94,-99.11,-4.68,0.0,-14.66,-12.81,-4.53,-12.17,-5.3,55.73,-8.94,-99.11,-4.0,0.0,-14.66,-12.81,-4.49,-11.85,-4.86,56.45,-8.94,-99.11,-3.3,0.0,-13.48,-9.42,-4.49,-9.3,-2.05,16653
1703118,29606,30644,49.14,41.52,0.0,0.0,-11.61,,-23.42,-16.76,-13.03,-14.17,-13.32,42.94,0.0,0.0,-9.71,,-15.3,-16.76,-13.03,-9.45,-9.48,44.22,0.0,0.0,-6.73,,-13.35,-16.76,-13.03,-8.14,-8.55,12604
1703151,21448,34047,38.65,32.65,-15.14,-7.8,-2.53,,-17.89,-15.97,-16.63,-15.52,-12.06,33.34,-15.14,-7.8,-2.53,,-15.33,-14.33,-12.03,-14.01,-11.56,34.84,0.0,-5.52,-2.53,,-11.4,-8.69,-10.14,-9.68,-9.38,3374
1703152,26266,37168,41.41,36.66,0.0,-5.83,-3.71,,-15.05,-15.33,-11.16,-13.37,-12.79,37.2,0.0,-5.83,-3.71,,-12.99,-15.33,-11.16,-13.37,-12.79,38.13,0.0,-4.94,-3.71,,-9.66,-13.02,0.0,-10.58,-11.29,5941
1703153,36878,50698,42.11,37.35,0.0,-14.81,-2.5,,-13.67,-14.94,0.0,-14.02,-7.12,38.11,0.0,-10.28,-2.5,,-11.2,-14.94,0.0,-11.59,-7.12,39.24,0.0,-10.28,-1.4,,-8.2,-3.8,0.0,-11.59,-7.12,9147
