zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
72467,46.96,127,102,55.46,-28.57,0.0,-3.45,,-17.82,-16.67,-21.43,-24.53,-12.31
72469,46.05,236,195,54.76,-33.33,0.0,0.0,,-16.91,-15.38,-15.38,-26.04,-13.68
72470,45.87,60,49,55.05,-33.33,0.0,0.0,,-17.31,0.0,-28.57,-25.0,-13.33
72471,44.15,204,172,54.26,-5.88,0.0,-14.71,,-19.32,0.0,-7.69,-25.0,-17.05
72472,46.96,1934,1554,55.45,-26.73,0.0,-4.51,,-17.04,-20.41,-17.87,-23.85,-12.71
72473,44.19,453,382,54.25,-5.41,-33.33,-14.67,,-18.97,-2.78,-10.34,-25.49,-16.84
72476,46.03,1498,1236,54.79,-29.33,0.0,-1.03,0.0,-17.11,-20.0,-16.87,-26.02,-13.46
72478,46.05,83,69,54.61,-25.0,0.0,0.0,,-16.44,-20.0,-11.11,-26.47,-12.2
72479,46.65,265,214,55.32,-26.67,0.0,-6.67,,-17.14,-14.29,-20.69,-24.32,-12.69
72482,46.03,276,228,54.76,-28.57,0.0,0.0,,-17.28,-18.75,-19.35,-26.55,-13.14
72501,50.94,6255,4165,60.03,-9.12,0.0,-0.72,0.0,-15.5,-7.05,-12.21,-20.7,-10.68
72512,50.96,592,394,60.04,-7.69,0.0,0.0,0.0,-15.4,-8.57,-12.33,-20.86,-10.87
72513,47.86,637,486,56.72,-20.0,0.0,-1.79,0.0,-16.44,-13.51,-16.22,-23.64,-12.66
72515,52.17,14,9,60.87,0.0,,,,-15.38,0.0,-50.0,-16.67,0.0
72517,50.7,85,57,59.86,-25.0,,0.0,,-15.66,0.0,-18.18,-20.0,-10.0
72519,49.23,765,535,58.85,-11.76,0.0,0.0,0.0,-16.71,-6.38,-17.53,-22.56,-12.82
72520,50.94,63,42,60.0,0.0,,0.0,,-16.13,-25.0,-12.5,-20.0,-13.33
72521,47.4,1093,849,56.28,-23.08,0.0,-0.94,0.0,-16.62,-15.87,-15.87,-24.25,-12.78
72522,50.64,94,62,60.26,0.0,,0.0,,-15.38,-16.67,-16.67,-20.45,-11.36
72523,50.99,212,141,60.06,-11.11,0.0,0.0,0.0,-15.46,-7.69,-11.54,-20.2,-11.11
72524,51.02,88,59,59.86,0.0,,0.0,,-15.12,0.0,-9.09,-19.51,-9.76
72526,50.94,63,42,60.0,0.0,,0.0,,-16.13,-25.0,-12.5,-20.0,-13.33
72527,50.97,124,83,59.9,0.0,,0.0,0.0,-15.7,0.0,-13.33,-20.69,-10.34
72528,51.28,47,31,60.26,0.0,,0.0,,-15.22,0.0,-16.67,-22.73,-13.64
72529,46.92,1040,826,55.73,-25.49,0.0,0.0,0.0,-16.72,-16.95,-16.1,-24.77,-12.94
72530,50.96,438,292,60.0,-10.53,0.0,0.0,0.0,-15.65,-7.69,-12.96,-20.49,-10.78
72531,46.93,186,140,57.06,-12.5,0.0,0.0,,-18.58,-8.33,-28.0,-25.0,-15.48
72532,46.52,334,270,55.3,-23.53,0.0,0.0,,-16.84,-15.79,-18.42,-25.36,-13.33
72533,51.02,88,59,59.86,0.0,,0.0,,-15.12,0.0,-9.09,-19.51,-9.76
72534,50.97,309,205,60.12,-14.29,0.0,0.0,0.0,-15.28,-5.56,-13.16,-20.69,-11.11
72536,50.93,96,64,60.0,0.0,,0.0,,-14.89,-16.67,-16.67,-20.0,-11.11
72537,43.68,192,156,55.17,-12.5,0.0,0.0,,-21.16,-7.69,-33.33,-29.67,-21.43
72538,50.91,99,66,60.0,0.0,,0.0,,-15.46,-16.67,-8.33,-19.57,-10.87
72539,51.02,88,59,59.86,0.0,,0.0,,-15.12,0.0,-9.09,-19.51,-9.76
72540,50.0,28,18,60.87,0.0,,0.0,,-14.81,0.0,0.0,-23.08,-15.38
