puma22,Num Eligible,Num Ineligible,Percentage Eligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible
0607102,34679,16699,0.67,2009,2644,8200,0,21890,22157,4132,12261,16599
0607103,31130,27358,0.53,2129,1216,3628,0,23712,19339,4162,11745,12977
0607104,22028,20868,0.51,1780,1426,1596,0,18750,9210,3475,10083,9604
0607105,20786,30311,0.41,1500,1335,1412,3,15598,10476,2702,8835,8738
0607107,20072,12863,0.61,1596,1049,3827,64,9445,12752,1215,8132,9091
0607108,34388,13907,0.71,1644,1446,6218,2,12683,25742,1566,12303,10341
0607110,20970,10153,0.67,1094,722,2411,41,5734,17001,338,6817,4394
0607111,23162,34353,0.4,1485,4022,4126,2,14585,10727,2415,10283,7068
0607112,19787,19097,0.51,1366,3718,1495,218,10844,12500,1025,8369,6683
0607115,13572,19091,0.42,762,1387,2805,0,4661,9191,606,5680,4986
0607116,20745,16565,0.56,912,2090,3960,451,9847,14014,2427,9420,5634
0607117,18087,13602,0.57,861,1017,2345,0,6157,13942,1909,8006,6158
0607118,30638,27088,0.53,1853,3068,4167,100,17108,22639,2546,12189,9098
0607119,20055,32064,0.38,666,6806,1403,67,9730,11207,2501,9180,5442
0607301,25994,36430,0.42,915,4153,3180,164,19735,12883,6880,9710,9204
0607302,13415,28538,0.32,670,1019,91,0,12081,4635,2258,7211,5006
0607306,24573,21131,0.54,1845,1973,1124,0,17660,14966,3086,9159,9072
0607307,15936,22872,0.41,693,410,1151,22,14322,5860,2144,7973,6673
0607308,11374,36761,0.24,761,2925,437,68,8707,2319,1704,6466,2971
0607310,19849,52323,0.28,928,1821,2366,49,17800,4331,3129,7629,5049
0607311,8489,31591,0.21,613,4452,388,0,3663,2096,977,4229,2185
0607312,14913,26907,0.36,566,8466,497,0,7833,4130,2189,4207,2088
0607313,30955,32070,0.49,1007,2364,4327,229,24771,8456,3780,13617,12766
0607314,20953,43323,0.33,637,3671,2254,90,16663,5988,3872,8389,6128
0607315,20028,46029,0.3,703,3567,1937,106,15491,6948,1787,7228,5220
0607316,33383,57061,0.37,1255,3098,5025,0,25272,11625,2699,11199,7079
0607317,30862,28535,0.52,1390,6785,6995,86,16385,15385,2332,10893,10695
0607322,19974,20129,0.5,454,2780,2331,447,11848,13313,3041,9795,7000
0607323,13900,20527,0.4,436,1602,889,0,11943,7473,1840,4933,2852
0607324,13713,40914,0.25,600,2992,795,1,11214,3573,2980,6709,4719
0607325,18532,28350,0.4,682,1712,493,0,14439,8881,1750,8065,6096
0607326,13844,49830,0.22,227,2752,301,0,10766,2940,1134,6977,4065
0607327,25176,16426,0.61,768,4842,4354,147,10917,14640,4118,12714,9208
0607328,18791,23399,0.45,977,2236,2522,0,13099,8132,1499,8641,7175
0607329,19803,29742,0.4,879,4820,2857,6,11719,12465,4179,8618,7741
0607330,35830,19718,0.65,1499,4981,3711,104,24092,27039,3748,16985,13251
0607507,19199,12656,0.6,781,10618,3565,234,3616,4818,1291,11002,7035
0607508,13252,30272,0.3,263,5819,1014,0,6800,2002,247,6866,5508
0607509,18298,33875,0.35,529,7948,1815,19,8331,3509,612,8863,7628
0607510,19925,26716,0.43,1092,6065,2093,45,9615,6353,1264,8281,8110
0607511,14652,42511,0.26,808,4451,1675,43,9027,4042,711,6638,5261
0607512,13257,26390,0.33,519,7916,847,0,7315,1467,1136,7997,5130
0607513,12930,21438,0.38,516,7074,1390,473,5181,2972,1032,7104,4342
0607514,13475,32380,0.29,238,6319,1200,0,6631,1798,211,7028,5570
0607705,32855,31279,0.51,5747,10883,6008,271,16440,13197,2616,12318,14050
0607706,33954,15785,0.68,1883,4337,5918,186,16360,21671,2182,13601,12889
0607707,14332,22408,0.39,815,3782,1106,127,8037,6700,1227,6566,5271
