Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,Num Eligible,Participation Rate
2023-02-01,16,154,0,192,1507,1853,4006,4,10716,18716,33442,287136,0.12
2023-03-01,16,156,0,-24,2197,2329,4162,4,10691,20912,35769,287136,0.12
2023-04-01,16,197,0,30,2159,2386,4358,4,10720,23071,38153,287136,0.13
2023-05-01,16,129,0,-64,2212,2277,4487,4,10656,25283,40430,287136,0.14
2023-06-01,16,152,0,-73,1933,2011,4639,4,10589,27226,42458,287136,0.15
2023-07-01,16,115,0,22,1600,1737,4754,4,10605,28816,44179,287136,0.15
2023-08-01,16,162,0,34,1825,2021,4916,4,10640,30640,46200,287136,0.16
2023-09-23,16,40,0,-224,986,803,4956,4,10415,31628,47002,287136,0.16
2022-01-01,17,5723,-3,8672,10064,24456,45828,103,136198,120172,302302,2000692,0.15
2022-02-01,17,2678,6,8025,6548,17257,48506,109,144223,126720,319559,2000692,0.16
2022-03-01,17,1464,-2,13192,11679,26333,49970,107,157414,138399,345891,2000692,0.17
2022-04-01,17,-979,-4,8173,9429,16619,48991,103,165587,147828,362510,2000692,0.18
2022-05-01,17,-758,-3,3254,5426,7919,48233,100,168841,153254,370429,2000692,0.19
2022-06-01,17,-180,-2,4099,9537,13454,48053,98,172939,162789,383879,2000692,0.19
2022-07-01,17,-164,-14,5304,14155,19281,47889,83,178237,176940,403148,2000692,0.2
2022-08-01,17,-978,0,-1248,14566,12340,46911,83,176989,191506,415488,2000692,0.21
2022-09-01,17,-42,-4,925,15105,15984,46869,79,177914,206611,431472,2000692,0.22
2022-10-01,17,-328,-1,-2092,13878,11457,46541,78,175822,220489,442929,2000692,0.22
2022-11-01,17,-489,-2,-1250,10286,8545,46052,76,174572,230775,451474,2000692,0.23
2022-12-01,17,-12428,-1,-1300,13423,-306,33624,75,173268,244198,451165,2000692,0.23
2023-01-01,17,279,-1,1733,14829,16840,33903,74,174999,259024,468000,2000692,0.23
2023-02-01,17,659,-3,-2051,15629,14234,34562,71,172948,274659,482240,2000692,0.24
2023-03-01,17,504,-1,-4193,19956,16266,35066,70,168755,294615,498506,2000692,0.25
2023-04-01,17,491,-1,-719,21183,20954,35557,69,168034,315798,519458,2000692,0.26
2023-05-01,17,362,0,3529,20015,23906,35919,69,171562,335813,543363,2000692,0.27
2023-06-01,17,599,0,6942,19876,27417,36526,70,178606,355990,571192,2000692,0.29
2023-07-01,17,240,0,5829,17300,23369,36757,69,184334,372968,594128,2000692,0.3
2023-08-01,17,530,0,7925,18665,27120,37287,69,192259,391630,621245,2000692,0.31
2023-09-23,17,-4102,0,3455,6245,5598,33185,69,195714,397875,626843,2000692,0.31
2022-01-01,18,3583,-2,3748,3529,10858,40532,69,112584,49526,202711,1099146,0.18
2022-02-01,18,2667,2,4147,1420,8236,43199,71,116731,50946,210947,1099146,0.19
2022-03-01,18,1654,-1,6820,4629,13102,44853,70,123550,55575,224048,1099146,0.2
2022-04-01,18,701,-2,-5250,4447,-104,45554,68,118310,60025,223957,1099146,0.2
2022-05-01,18,1591,0,1058,5686,8335,47145,68,119368,65711,232292,1099146,0.21
2022-06-01,18,1183,-1,4681,5349,11212,48328,67,124048,71060,243503,1099146,0.22
2022-07-01,18,2039,-27,1070,7675,10757,50367,40,125118,78735,254260,1099146,0.23
2022-08-01,18,901,-1,-676,6911,7135,51268,39,124442,85646,261395,1099146,0.24
2022-09-01,18,1538,0,-564,6910,7884,52806,39,123878,92555,269278,1099146,0.24
2022-10-01,18,871,-2,283,6526,7678,53677,37,124160,99081,276955,1099146,0.25
2022-11-01,18,492,1,559,5967,7019,54169,38,124719,105048,283974,1099146,0.26
2022-12-01,18,-3389,2,-1103,8771,4281,50780,40,123616,113819,288255,1099146,0.26
2023-01-01,18,913,-1,3238,9105,13255,51693,39,126853,122924,301509,1099146,0.27
2023-02-01,18,1862,-5,1156,6344,9357,53555,34,128009,129268,310866,1099146,0.28
2023-03-01,18,1552,-2,-889,9615,10276,55107,32,127120,138882,321141,1099146,0.29
2023-04-01,18,1265,0,256,11204,12725,56372,32,127376,150086,333866,1099146,0.3
2023-05-01,18,1401,0,-200,12115,13316,57773,32,127176,162201,347182,1099146,0.32
2023-06-01,18,1806,-1,533,11289,13627,59579,31,127758,173558,360926,1099146,0.33
2023-07-01,18,949,0,402,9331,10682,60528,31,128113,182812,371484,1099146,0.34
2023-08-01,18,1380,-1,450,11025,12854,61908,30,128563,193836,384337,1099146,0.35
2023-09-23,18,-639,0,-594,5180,3947,61269,30,127969,199016,388284,1099146,0.35
2022-01-01,19,-20,-1,765,1010,1754,1123,18,38515,13348,53004,497487,0.11
2022-02-01,19,23,-1,1166,1371,2559,1146,17,39681,14719,55563,497487,0.11
2022-03-01,19,58,0,2342,1824,4224,1204,17,42012,16544,59778,497487,0.12
2022-04-01,19,57,-2,-2423,1296,-1072,1261,15,39601,17839,58718,497487,0.12
