Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers,Num Eligible,Participation Rate
2022-01-01,50,255,0,-99,389,545,1933,12,4819,3695,10459,116455,0.09
2022-02-01,50,97,-1,355,359,810,2030,11,5174,4054,11269,116455,0.1
2022-03-01,50,103,0,464,597,1164,2133,11,5636,4651,12431,116455,0.11
2022-04-01,50,10,0,-719,517,-192,2143,11,4919,5168,12241,116455,0.11
2022-05-01,50,42,0,29,602,673,2185,11,4948,5770,12914,116455,0.11
2022-06-01,50,77,-1,116,504,696,2262,10,5064,6274,13610,116455,0.12
2022-07-01,50,79,-4,-134,726,667,2341,6,4930,6999,14276,116455,0.12
2022-08-01,50,81,0,-61,494,514,2422,6,4869,7493,14790,116455,0.13
2022-09-01,50,89,0,-114,488,463,2511,6,4755,7981,15253,116455,0.13
2022-10-01,50,79,0,111,301,491,2590,6,4866,8282,15744,116455,0.14
2022-11-01,50,81,0,96,235,412,2671,6,4962,8517,16156,116455,0.14
2022-12-01,50,-489,0,-8,793,296,2182,6,4954,9310,16452,116455,0.14
2023-01-01,50,41,1,70,904,1016,2223,7,5024,10213,17467,116455,0.15
2023-02-01,50,103,0,53,712,868,2326,7,5077,10926,18336,116455,0.16
2023-03-01,50,72,0,-103,781,750,2398,7,4974,11707,19086,116455,0.16
2023-04-01,50,66,0,-3,783,846,2464,7,4971,12490,19932,116455,0.17
2023-05-01,50,38,0,-46,728,720,2502,7,4925,13218,20652,116455,0.18
2023-06-01,50,88,0,-182,729,635,2598,7,4749,13991,21345,116455,0.18
2023-07-01,50,50,0,-102,630,578,2639,7,4641,14577,21864,116455,0.19
2023-08-01,50,36,0,-113,589,512,2675,7,4528,15166,22376,116455,0.19
2023-09-23,50,40,0,-22,1705,1723,2715,7,4506,16871,24099,116455,0.21
2022-01-01,51,2590,4,6271,7102,15966,36417,85,72464,71908,180873,1142640,0.16
2022-02-01,51,3144,0,4713,4958,12815,39561,85,77178,76866,193689,1142640,0.17
2022-03-01,51,2435,0,9265,8000,19700,41996,85,86443,84866,213390,1142640,0.19
2022-04-01,51,1539,-4,5349,5633,12517,43534,81,91796,90496,225908,1142640,0.2
2022-05-01,51,2135,-1,1749,2756,6639,45669,80,93546,93252,232546,1142640,0.2
2022-06-01,51,2410,-2,650,6350,9408,48079,78,94195,99602,241955,1142640,0.21
2022-07-01,51,1763,-14,867,8474,11091,49843,64,95061,108075,253041,1142640,0.22
2022-08-01,51,1852,-4,-3417,8424,6855,51695,60,91644,116498,259896,1142640,0.23
2022-09-01,51,2486,-1,1860,7675,12020,54181,59,93504,124173,271916,1142640,0.24
2022-10-01,51,2393,-2,256,7487,10134,56574,57,93759,131660,282048,1142640,0.25
2022-11-01,51,1596,-1,-1013,5566,6149,58170,56,92746,137226,288197,1142640,0.25
2022-12-01,51,-2816,-3,714,9926,7821,55354,53,93459,147151,296016,1142640,0.26
2023-01-01,51,-849,-1,2878,8569,10598,54505,52,96337,155720,306613,1142640,0.27
2023-02-01,51,2191,0,-229,9849,11811,56696,52,96109,165569,318425,1142640,0.28
2023-03-01,51,1815,-2,-2557,13665,12920,58511,50,93551,179234,331345,1142640,0.29
2023-04-01,51,1812,-1,-741,12619,13688,60323,49,92809,191853,345035,1142640,0.3
2023-05-01,51,4145,-1,279,12581,17005,64468,48,93088,204435,362040,1142640,0.32
2023-06-01,51,3638,-2,2103,9475,15214,68106,46,95214,213983,377348,1142640,0.33
2023-07-01,51,3440,0,1870,9813,15123,71546,46,97063,223722,392376,1142640,0.34
2023-08-01,51,3265,1,2217,12418,17901,74812,47,99280,236137,410274,1142640,0.36
2023-09-23,51,3457,0,989,9913,14360,78269,47,100269,246050,424634,1142640,0.37
2022-01-01,53,3195,4,1426,4930,9554,30796,147,80835,46403,158180,1139413,0.14
2022-02-01,53,2400,-2,4052,3628,10078,33195,145,84887,50031,168257,1139413,0.15
2022-03-01,53,1694,-5,5731,6139,13558,34889,140,90615,56168,181813,1139413,0.16
2022-04-01,53,-34,-6,-5264,7082,1778,34855,134,85361,63257,183608,1139413,0.16
2022-05-01,53,319,-3,1214,8550,10079,35174,131,86575,71807,193687,1139413,0.17
2022-06-01,53,654,-2,-306,7497,7843,35827,129,86270,79304,201530,1139413,0.18
2022-07-01,53,886,-16,-889,7378,7359,36714,113,85376,86681,208884,1139413,0.18
2022-08-01,53,280,-1,-1373,5760,4666,36993,112,84004,92441,213550,1139413,0.19
2022-09-01,53,459,0,827,6420,7706,37452,112,84831,98861,221255,1139413,0.19
2022-10-01,53,215,0,1256,7214,8685,37667,112,86086,106074,229939,1139413,0.2
2022-11-01,53,-94,1,-551,5088,4444,37573,113,85535,111162,234382,1139413,0.21
2022-12-01,53,-7770,-2,-1567,7280,-2059,29802,111,83967,118442,232322,1139413,0.2
2023-01-01,53,55,-2,1106,8413,9572,29857,109,85073,126854,241893,1139413,0.21
2023-02-01,53,732,-2,135,7855,8720,30589,107,85208,134708,250612,1139413,0.22
2023-03-01,53,763,1,-280,10631,11115,31352,108,84928,145339,261727,1139413,0.23
2023-04-01,53,686,2,173,8742,9602,32038,110,85101,154081,271329,1139413,0.24
2023-05-01,53,678,-3,-1117,8947,8504,32715,107,83984,163027,279834,1139413,0.25
2023-06-01,53,738,-3,31,7656,8422,33453,104,84035,170718,288310,1139413,0.25
2023-07-01,53,466,-1,926,7319,8710,33918,103,84943,177999,296962,1139413,0.26
2023-08-01,53,613,-1,2365,8762,11738,34531,102,87307,186761,308700,1139413,0.27
2023-09-23,53,465,-1,1939,6868,9270,34996,101,89247,193628,317972,1139413,0.28
2022-01-01,54,354,-1,416,908,1678,4177,36,42115,13328,59656,360464,0.17
2022-02-01,54,134,-1,1904,824,2861,4311,35,44018,14152,62516,360464,0.17
2022-03-01,54,112,-2,3858,1881,5849,4423,33,47867,16033,68356,360464,0.19
2022-04-01,54,-56,-2,-3748,1124,-2682,4366,31,44089,17148,65633,360464,0.18
2022-05-01,54,51,-2,148,1727,1924,4417,29,44236,18875,67558,360464,0.19
2022-06-01,54,70,0,293,2079,2442,4487,29,44530,20954,69999,360464,0.19
2022-07-01,54,93,-7,-347,2504,2242,4580,22,44181,23457,72241,360464,0.2
2022-08-01,54,-6,-3,-882,2953,2062,4574,19,43299,26411,74303,360464,0.21
2022-09-01,54,27,1,337,2346,2711,4601,20,43635,28755,77011,360464,0.21
2022-10-01,54,37,-1,1288,2456,3780,4638,19,44921,31211,80790,360464,0.22
2022-11-01,54,-25,0,965,1665,2604,4613,19,45886,32876,83394,360464,0.23
2022-12-01,54,-693,0,497,1960,1764,3920,19,46383,34836,85159,360464,0.24
2023-01-01,54,32,0,749,2750,3530,3952,19,47131,37585,88688,360464,0.25
2023-02-01,54,121,1,-51,2808,2879,4073,20,47082,40395,91571,360464,0.25
2023-03-01,54,55,-1,-994,4107,3168,4128,19,46088,44502,94738,360464,0.26
2023-04-01,54,61,0,-511,4304,3855,4189,19,45578,48806,98593,360464,0.27
2023-05-01,54,56,1,-1042,5900,4914,4245,20,44536,54706,103507,360464,0.29
2023-06-01,54,118,1,-577,4833,4375,4374,21,45011,60589,109997,360464,0.31
2023-07-01,54,53,0,-576,3800,3277,4416,21,43374,63259,111072,360464,0.31
2023-08-01,54,90,0,-462,3446,3074,4506,21,42912,66705,114146,360464,0.32
2023-09-23,54,72,0,-576,3218,2713,4578,21,42336,69923,116859,360464,0.32
2022-01-01,55,3705,3,2079,3046,8833,57409,39,72121,39862,169431,892049,0.19
2022-02-01,55,5342,2,3103,2663,11110,62751,41,75224,42525,180541,892049,0.2
2022-03-01,55,6660,-4,4779,2705,14140,69411,37,80002,45231,194681,892049,0.22
2022-04-01,55,5689,-5,-4116,1797,3365,75100,32,75885,47026,198043,892049,0.22
2022-05-01,55,6923,-1,1434,3532,11888,82023,31,77319,50558,209931,892049,0.24
2022-06-01,55,6661,0,3085,3335,13081,88684,31,80404,53892,223011,892049,0.25
2022-07-01,55,9703,-10,2595,2628,14916,98387,21,82998,56520,237926,892049,0.27
2022-08-01,55,8532,-1,155,4838,13524,106919,20,83153,61358,251450,892049,0.28
2022-09-01,55,8207,0,679,4993,13879,115126,20,83832,66351,265329,892049,0.3
2022-10-01,55,5730,0,1277,5554,12561,120856,20,85109,71905,277890,892049,0.31
2022-11-01,55,5484,0,714,2768,8966,126340,20,85823,74673,286856,892049,0.32
2022-12-01,55,7351,-1,-1841,4579,10088,133691,19,83982,79252,296944,892049,0.33
2023-01-01,55,4771,0,1115,4815,10701,138462,19,85097,84067,307645,892049,0.34
2023-02-01,55,7296,-2,-797,4448,10945,145758,17,84300,88515,318589,892049,0.36
2023-03-01,55,6592,0,-1776,7858,12674,152350,17,82524,96373,331264,892049,0.37
2023-04-01,55,5646,0,-1287,8814,13173,157996,17,81237,105187,344437,892049,0.39
2023-05-01,55,4525,-1,-5,8166,12685,162521,16,81232,113353,357122,892049,0.4
2023-06-01,55,6314,-1,1326,6771,14410,168856,15,82572,120178,371621,892049,0.42
2023-07-01,55,4064,1,1055,5911,11031,172898,16,83613,126031,382558,892049,0.43
2023-08-01,55,5289,-1,1276,9141,15705,178187,15,84889,135172,398263,892049,0.45
2023-09-23,55,4972,1,-404,7967,12536,183159,16,84485,143139,410798,892049,0.46
2022-01-01,56,329,0,2,173,504,3690,2,42,1596,5330,84623,0.06
2022-02-01,56,421,0,3,157,581,4111,2,45,1753,5911,84623,0.07
2022-03-01,56,421,2,11,219,653,4532,4,56,1972,6565,84623,0.08
2022-04-01,56,363,0,10,285,658,4895,4,66,2257,7222,84623,0.09
2022-05-01,56,453,0,7,351,811,5348,4,73,2608,8032,84623,0.09
2022-06-01,56,680,0,2,251,933,6028,4,75,2857,8964,84623,0.11
2022-07-01,56,709,0,6,213,928,6737,4,81,3070,9891,84623,0.12
2022-08-01,56,604,1,-2,283,886,7341,5,79,3353,10777,84623,0.13
2022-09-01,56,545,0,21,221,787,7885,5,100,3574,11564,84623,0.14
2022-10-01,56,428,0,37,286,751,8313,5,136,3861,12315,84623,0.15
2022-11-01,56,377,0,31,168,576,8690,5,167,4028,12891,84623,0.15
2022-12-01,56,547,0,-6,294,836,9237,5,161,4323,13726,84623,0.16
2023-01-01,56,298,0,81,411,790,9535,5,242,4733,14516,84623,0.17
2023-02-01,56,453,0,120,257,830,9988,5,363,4998,15353,84623,0.18
2023-03-01,56,440,0,78,272,790,10428,5,441,5269,16142,84623,0.19
2023-04-01,56,445,0,67,228,739,10873,5,507,5496,16882,84623,0.2
2023-05-01,56,333,0,26,297,656,11206,5,532,5793,17537,84623,0.21
2023-06-01,56,500,-1,-3,253,749,11706,4,529,6051,18291,84623,0.22
2023-07-01,56,364,0,24,578,966,12070,4,553,6625,19252,84623,0.23
2023-08-01,56,430,0,25,379,834,12500,4,578,7004,20086,84623,0.24
2023-09-23,56,418,0,10,171,599,12918,4,588,7175,20685,84623,0.24
2022-01-01,72,-19,0,22792,4297,27070,628,2,287489,101999,390118,934092,0.42
2022-02-01,72,-490,0,26888,5311,31709,138,2,314377,107310,421827,934092,0.45
2022-03-01,72,-12,0,24388,6231,30607,126,2,338765,113541,452434,934092,0.48
2022-04-01,72,-13,0,8885,3895,12767,113,2,347650,117436,465201,934092,0.5
2022-05-01,72,-3,0,9374,6059,15430,110,2,357024,123495,480631,934092,0.51
2022-06-01,72,-10,1,9601,6901,16493,100,3,366625,130396,497124,934092,0.53
2022-07-01,72,-4,0,-32745,6258,-26491,96,3,333880,136654,470633,934092,0.5
2022-08-01,72,-3,0,-246,10290,10041,93,3,333634,146944,480674,934092,0.51
2022-09-01,72,-1,0,3536,13156,16691,92,3,337170,160100,497365,934092,0.53
2022-10-01,72,-2,0,13983,13199,27180,90,3,351153,173299,524545,934092,0.56
2022-11-01,72,-6,0,11779,11764,23537,84,3,362932,185063,548082,934092,0.59
2022-12-01,72,-1,0,7599,10306,17904,83,3,370531,195369,565986,934092,0.61
2023-01-01,72,-2,2,-29789,7289,-22500,81,5,340742,202658,543486,934092,0.58
2023-02-01,72,-2,0,2519,10183,12700,79,5,343261,212841,556186,934092,0.6
2023-03-01,72,-15,0,-1647,5725,4063,64,5,341614,218566,560249,934092,0.6
2023-04-01,72,1,0,-750,13003,12254,65,5,340864,231569,572503,934092,0.61
2023-05-01,72,-1,0,-1035,14278,13242,64,5,339829,245847,585745,934092,0.63
2023-06-01,72,1,0,1385,12028,13414,65,5,342303,258507,600880,934092,0.64
2023-07-01,72,-1,0,-33,8402,8368,64,5,341162,266248,607479,934092,0.65
2023-08-01,72,-6,0,6425,7652,14071,58,5,347587,273900,621550,934092,0.67
2023-09-23,72,-1,0,4480,9791,14270,57,5,352067,283691,635820,934092,0.68
